CREDENTIAL_TITLE_REPORTED_TO_NSC	CREDENTIAL_LEVEL_CODE	CREDENTIAL_LEVEL_DESC
(AD) ASSOCIATE DEGREE IN PHARMACY ASSISTANT	A	Associates
(AD) ASSOCIATE DEGREE IN PHARMACY TECHNICIAN	A	Associates
(AD) ASSOCIATE DEGREE IN SYSTEM OPERATOR AND DATA ENTRY	A	Associates
(AD) ASSOCIATE DEGREE IN TOURISM AND HOSPITALITY	A	Associates
(AD) ASSOCIATE DEGREE IN TOURISM GUIDE	A	Associates
* ASSOCIATE OF ARTS *	A	Associates
**ASSOCIATE OF ARTS	A	Associates
*ASSOC IN ARTS & SCI W/HNRS	A	Associates
*ASSOC IN ARTS & SCIENCES	A	Associates
*ASSOCIATE IN ARTS	A	Associates
*ASSOCIATE IN ARTS*	A	Associates
*ASSOCIATE IN ARTS*      06/20	A	Associates
*ASSOCIATE IN ARTS*      08/17	A	Associates
*ASSOCIATE IN ARTS*      12/14	A	Associates
*ASSOCIATE IN SCIENCE-TRANSFER	A	Associates
*ASSOCIATE OF ARTS	A	Associates
*ASSOCIATE OF ARTS - HONORS	A	Associates
*ASSOCIATE OF ARTS*	A	Associates
*ASSOCIATE OF ARTS*      06/20	A	Associates
*ASSOCIATE OF ARTS*      12/14	A	Associates
.AAS	A	Associates
03-ASSOCIATE APPLIED SCIENCE	A	Associates
03-ASSOCIATE ARTS IN TEACHING	A	Associates
03-ASSOCIATE OF ARTS	A	Associates
2-YEAR ASSOCIATE DEGREE	A	Associates
A A	A	Associates
A A S	A	Associates
A A S   DATA PROCESSING	A	Associates
A A S - ACCOUNTING	A	Associates
A A S - AUTO MECH	A	Associates
A A S - BAKING	A	Associates
A A S - BODY & FENDER	A	Associates
A A S - CARDIO-PULMONARY	A	Associates
A A S - CARPENTRY	A	Associates
A A S - COSMETOLOGY	A	Associates
A A S - GEN BUS	A	Associates
A A S - HOTEL-MOTEL	A	Associates
A A S - PRINTING	A	Associates
A A S - PRODUCTION AG	A	Associates
A A S - WATER RESOURCES	A	Associates
A A S COMPUTER TECH	A	Associates
A S D H	A	Associates
A S IN APPLIED BUSINESS STUDIES	A	Associates
A S IN BUSINESS	A	Associates
A S IN COMMERCIAL ART	A	Associates
A S IN CRIMINAL JUSTICE	A	Associates
A S IN DENTAL HYGIENE	A	Associates
A S IN DENTAL LAB TECH	A	Associates
A S IN LABOR STUDIES	A	Associates
A S IN RADIOGRAPHY	A	Associates
A. S.	A	Associates
A. S. - DENTAL HYGIENE	A	Associates
A. S. IN ACCOUNTING TECHNOLOGY	A	Associates
A. S. IN APPLIED BUSINESS STUDIES	A	Associates
A. S. IN AUDIO TECHNOLOGY	A	Associates
A. S. IN BANKING & FINANCE	A	Associates
A. S. IN BIOLOGICAL SCIENCES	A	Associates
A. S. IN COSTUME CONSTRUCTION TECHNOLOGY	A	Associates
A. S. IN DISTRIBUTION & MARKETING TECH	A	Associates
A. S. IN EARLY CHILDHOOD DEVELOPMENT	A	Associates
A. S. IN EARLY CHILDHOOD EDUCATION	A	Associates
A. S. IN EDUCATION TECHNOLOGY	A	Associates
A. S. IN ELECTRODIAGNOSTIC TECHNOLOGY	A	Associates
A. S. IN FIRE SCIENCE TECHNOLOGY	A	Associates
A. S. IN HAZARD CONTROL TECHNOLOGY	A	Associates
A. S. IN HEALTH CARE MANAGEMENT	A	Associates
A. S. IN HEALTH INFORMATION TECHNOLOGY	A	Associates
A. S. IN HOSPITAL DIETARY TECHNOLOGY	A	Associates
A. S. IN LABOR STUDIES	A	Associates
A. S. IN MEDIA ARTS AND TECHNOLOGY	A	Associates
A. S. IN MEDICAL LABORATORY TECHNOLOGY	A	Associates
A. S. IN MEDICAL RECORD TECHNOLOGY	A	Associates
A. S. IN NATURAL SCIENCES & MATHEMATICS	A	Associates
A. S. IN OCCUPATIONAL THERAPY TECHNOLOGY	A	Associates
A. S. IN OFFICE TECHNOLOGY	A	Associates
A. S. IN OPERATIONS SUPERVISION TECH	A	Associates
A. S. IN OPERATIONS SUPERVISION TECH.	A	Associates
A. S. IN OPTOMETRIC TECHNOLOGY-OP TECH	A	Associates
A. S. IN OPTOMETRIC TECHNOLOGY-OPT TECHNICIAN	A	Associates
A. S. IN OPTOMETRIC TECHNOLOGY-OPTICIAN	A	Associates
A. S. IN OPTOMETRIC TECHNOLOGY/OPTICIANRY	A	Associates
A. S. IN PARAMEDIC SCIENCE	A	Associates
A. S. IN PRE-ELEMENTARY EDUCATION	A	Associates
A. S. IN RADIATION THERAPY	A	Associates
A. S. IN RADIOLOGIC SCIENCES	A	Associates
A. S. IN RECREATIONAL LEADERSHIP	A	Associates
A. S. IN RESPIRATORY THERAPY	A	Associates
A. S. IN STAGECRAFT TECHNOLOGY	A	Associates
A. S. IN STRING INSTRUMENT TECHNOLOGY	A	Associates
A. S. IN TRANSPORTATION & TRAFFIC TECH	A	Associates
A. S. REGISTERED NURSING	A	Associates
A. S. TEACHING	A	Associates
A.A.	A	Associates
A.A. - CORRECTIONS	A	Associates
A.A. 05/03/97	A	Associates
A.A. AIRCRAFT COMMERCIAL PILOT	A	Associates
A.A. AND AGEC-A	A	Associates
A.A. COMPUTER SCIENCE & INFORMATION PROCESSING	A	Associates
A.A. DEGREE	A	Associates
A.A. ELEMENTRY EDUCATION	A	Associates
A.A. FIRE TECHNOLOGY	A	Associates
A.A. GENERAL EDUCATION	A	Associates
A.A. GENERAL SCIENCE	A	Associates
A.A. GENERAL STUDIES	A	Associates
"A.A. GENERAL STUDIES, ARTS & HUMANITIES"	A	Associates
"A.A. GENERAL STUDIES, SCIENCE & MATH"	A	Associates
"A.A. GENERAL STUDIES, SOCIAL & BEHAVIORAL"	A	Associates
A.A. GENERAL STUDIES: SCIENCE & MATH	A	Associates
A.A. IN BUSINESS ADMIN	A	Associates
A.A. IN BUSINESS ADMINIST	A	Associates
A.A. IN BUSINESS ADMINISTRATION	A	Associates
A.A. IN CRIMINAL JUSTICE	A	Associates
A.A. IN GENERAL STUDIES	A	Associates
A.A. IN LAW ENFORCEMENT	A	Associates
A.A. IN LIBERAL ARTS	A	Associates
A.A. IN LIBERAL STUDIES	A	Associates
A.A. IN NURSING	A	Associates
A.A. LIBERAL ARTS	A	Associates
A.A. LIBERAL ARTS & SCIENCE	A	Associates
A.A. LIBERAL ARTS & SCIENCES	A	Associates
A.A. LIBERAL STUDIES	A	Associates
A.A. LIFE SCIENCE	A	Associates
A.A. MID MANAGEMENT	A	Associates
A.A. MID-MANAGEMENT	A	Associates
A.A. NURSING	A	Associates
A.A. OFFICE SUPERVISION	A	Associates
A.A. PARKS & REC MANAGEMENT	A	Associates
A.A.-ACCOUNTING	A	Associates
A.A.-BUSINESS ADMIN	A	Associates
A.A.-CRIMINAL JUSTICE	A	Associates
A.A.-EARLY CHILD DEV.	A	Associates
A.A./A.A.S.	A	Associates
A.A./B.A.	A	Associates
A.A.A.	A	Associates
A.A.A. DEGREE	A	Associates
A.A.A.S IN DIETETIC TECHNOLOGY	A	Associates
A.A.A.S. BUSINESS TECHNOLOGY	A	Associates
A.A.A.S. COMPUTER APPLICATIONS	A	Associates
A.A.B.	A	Associates
A.A.S	A	Associates
A.A.S IN COMPUTER NETWORK SYSTEMS	A	Associates
A.A.S-OPT A#	A	Associates
A.A.S.	A	Associates
A.A.S. - BUSINESS TECHNOLOGY	A	Associates
A.A.S. - BUSINESS TECHNOLOGY MANAGEMENT	A	Associates
A.A.S. -LAW ENFORCEMENT	A	Associates
A.A.S. AGRICULTURAL BUSINESS	A	Associates
A.A.S. APPLIED SCIENCE	A	Associates
A.A.S. AUTO MANAGEMENT	A	Associates
A.A.S. BUS/SMALL BUSINES	A	Associates
A.A.S. BUSINESS	A	Associates
A.A.S. CMP AID DSGN DRFT	A	Associates
A.A.S. COMPUTER NETWORKING TECHNICIAN	A	Associates
A.A.S. DAIMLER CHRYSLER AUTOMOTIVE PROGRAM	A	Associates
A.A.S. DOUBLE MAJOR	A	Associates
A.A.S. EARLYCHILDHD TCHR ASST	A	Associates
A.A.S. ERLY CHLD CR/EDU	A	Associates
A.A.S. IN ACCOUNTING	A	Associates
A.A.S. IN AUTO BODY	A	Associates
A.A.S. IN AUTOMOTIVE	A	Associates
A.A.S. IN AUTOMOTIVE TECHNOLOGY	A	Associates
A.A.S. IN BUSINESS	A	Associates
A.A.S. IN COMP AID DESGN	A	Associates
A.A.S. IN DATA PROCESS	A	Associates
A.A.S. IN DRAFTING	A	Associates
A.A.S. IN EARLY CHILD DV	A	Associates
A.A.S. IN ELECTRONICS	A	Associates
A.A.S. IN HUMAN SERVICES	A	Associates
A.A.S. IN HVY EQUIP MAIN	A	Associates
A.A.S. IN INDUSTRIAL MAINTENANCE TECHNOLOGY	A	Associates
A.A.S. IN INFO PROCESS	A	Associates
A.A.S. IN MACHINE TOOL	A	Associates
A.A.S. IN MANUFAC TECH	A	Associates
A.A.S. IN MARKETING	A	Associates
A.A.S. IN MECHANICAL ENGINEERING TECHNOLOGY	A	Associates
A.A.S. IN MEDICAL OFFICE TECHNOLOGY	A	Associates
A.A.S. IN NURSING	A	Associates
A.A.S. IN SECRETARIAL	A	Associates
A.A.S. IN WATER TECH	A	Associates
A.A.S. INFOR PROC/SECR.	A	Associates
A.A.S. MINING TECHNOLOGY	A	Associates
A.A.S. NURSERY EDUCATION	A	Associates
A.A.S. NURSING	A	Associates
A.A.S. OFFICE SYSTEM/SEC	A	Associates
A.A.S. TECHNICAL STUDIES	A	Associates
A.A.S. TECHNOLOGY	A	Associates
A.A.S.- OFFICE/ADM ASST	A	Associates
A.A.S.-ACCT/COMP SPECIAL	A	Associates
A.A.S.-ACCT/MICRO APPLIC	A	Associates
A.A.S.-AUTOMATION TECH	A	Associates
A.A.S.-AUTOMOTIVE	A	Associates
A.A.S.-B.B.A	A	Associates
A.A.S.-BUS/SMALL BUSINES	A	Associates
A.A.S.-BUSINESS	A	Associates
A.A.S.-BUSINESS TECH/MANAGEMENT	A	Associates
A.A.S.-COMP AID DESGN	A	Associates
A.A.S.-COMP AID DESIGN	A	Associates
A.A.S.-COMP SYSTEM TECH	A	Associates
A.A.S.-CORRECTIONS	A	Associates
A.A.S.-EARLY CHILD DEV	A	Associates
A.A.S.-ELEC ENGINEER TEC	A	Associates
A.A.S.-ELECTRONICS	A	Associates
A.A.S.-ENVIRON MANAGEMNT	A	Associates
A.A.S.-HOSPITALITY MNGMT	A	Associates
A.A.S.-HUMAN SERVICES	A	Associates
A.A.S.-INSTRUMENTATION	A	Associates
A.A.S.-MACHINE TOOL	A	Associates
A.A.S.-MARKETING	A	Associates
A.A.S.-MARKETING/SM BUS	A	Associates
A.A.S.-NURSING	A	Associates
A.A.S.-OFF SYS/MED OFF S	A	Associates
A.A.S.-OFFICE SYS/LEGAL	A	Associates
A.A.S.-OFFICE SYSTEM/SEC	A	Associates
A.A.S.-OFFICE/ADM ASST	A	Associates
A.A.S.-PC SOFTWARE SPEC.	A	Associates
A.A.S.-PULP & PAPER TECH	A	Associates
A.A.S.-SOFTWARE APPLIC	A	Associates
A.A.S.-SOFTWARE NETWORK	A	Associates
A.A.S.-WATER RESRC MNGMT	A	Associates
A.A.S.OCCUPATIONAL DEVELOPMENT	A	Associates
A.A.T.	A	Associates
A.AP.S. DEGREE	A	Associates
A.B. (BACHELOR OF ARTS)	A	Associates
A.B. BIOLOGY	A	Associates
A.B. BUSINESS ADMINISTRATION	A	Associates
A.B. DOUBLE MAJOR	A	Associates
A.B. ENGLISH	A	Associates
A.B. MAJOR IN BIOLOGY	A	Associates
A.B. W/ DISTINCTION	A	Associates
A.B. WITH DIP IN ELEM EDUC	A	Associates
A.B. WITH HIGH HONORS	A	Associates
A.B.A.	A	Associates
A.B.A. DEGREE	A	Associates
A.B.A. DOUBLE MAJOR	A	Associates
A.B.DEGREE	A	Associates
A.B.S.	A	Associates
A.B.T.	A	Associates
A.G.S. DEGREE	A	Associates
A.S.	A	Associates
A.S.  DATA PROCESSING	A	Associates
A.S. APPLIED SCIENCE	A	Associates
A.S. ARCHITECTURAL ENG TECH	A	Associates
A.S. ASSOCIATE IN ACCOUNTING	A	Associates
A.S. ASSOCIATE IN SCIENCE	A	Associates
A.S. BUSINESS TECH	A	Associates
A.S. CIVIL ENGINEERING TECH	A	Associates
A.S. COMMERCIAL AQUACULTURE	A	Associates
A.S. COMMUNICATIONS TECHNOLOGY	A	Associates
A.S. COMPUTER SCIENCE	A	Associates
A.S. CONSTRUCTION ENG TECH	A	Associates
A.S. CORRECTIONS	A	Associates
A.S. DOUBLE MAJOR	A	Associates
A.S. ELECTRICAL ENG TECH	A	Associates
A.S. ELEMENTARY ED (DTA/MRP)	A	Associates
A.S. ENGINEERING	A	Associates
A.S. GENERAL BUSINESS	A	Associates
A.S. GENERAL EDUCATION	A	Associates
A.S. IN  NURSING	A	Associates
A.S. IN DATA PROCESSING	A	Associates
A.S. IN DENTAL HYGIENE	A	Associates
A.S. IN DRAFTING - PRODUCTION DESIGN	A	Associates
A.S. IN ELECTRONICS ENGINEERING TECHNOLOGY	A	Associates
A.S. IN ELECTRONICS TECHNOLOGY	A	Associates
A.S. IN HEALTH INFO. TECH.	A	Associates
A.S. IN MECH ENG	A	Associates
A.S. IN MEDICAL LABORATORY TECHNOLOGY	A	Associates
A.S. IN NURSING	A	Associates
A.S. IN OPTOMETRIC TECHNOLOGY	A	Associates
A.S. IN OPTOMETRIC TECHNOLOGY-OP TECH	A	Associates
A.S. IN RADIOLOGIC TECHNOLOGY	A	Associates
A.S. IN RESPIRATORY THERAPY	A	Associates
A.S. IN SECRETARIAL ADMINISTRATION	A	Associates
A.S. IN SPECIAL EDUCATION	A	Associates
A.S. IN TEACHING	A	Associates
A.S. INTL HEALTH STUDIES	A	Associates
A.S. LAW ENFORCEMENT	A	Associates
A.S. LEGAL ASSISTANT	A	Associates
A.S. LODGING OPERATIONS	A	Associates
A.S. MARKETING	A	Associates
A.S. MECHANICAL ENG TECHNOLOGY	A	Associates
