CREDENTIAL_TITLE_REPORTED_TO_NSC	CREDENTIAL_LEVEL_CODE	CREDENTIAL_LEVEL_DESC
AAS IN COMPUTER INFO TECH	A	Associates
AAS IN COMPUTER NETWORK TECHNO	A	Associates
AAS IN COMPUTER SCIENCE	A	Associates
AAS IN COMPUTER SERVICE TECH	A	Associates
AAS IN CONSTRUCTION	A	Associates
AAS IN CONSTRUCTION AND FACILITY SUPPORT	A	Associates
AAS IN CRIM JUSTICE STUDIES	A	Associates
AAS IN CRIMINAL JUSTICE	A	Associates
AAS IN DATA PROCESSING	A	Associates
AAS IN DATA PROCESSING-PROGRAMMER	A	Associates
AAS IN DENTAL HYG W/HIGH HON	A	Associates
AAS IN DENTAL HYGIENE	A	Associates
AAS IN DENTAL HYGIENE W/HONORS	A	Associates
AAS IN DIESEL TECHNOLOGY	A	Associates
AAS IN DRAFTING & DESIGN TECH	A	Associates
AAS IN DRAFTING AND DESIGN	A	Associates
AAS IN DRAFTING TECHNOLOGY	A	Associates
AAS IN EARLY CHILDHOOD DEVELOP	A	Associates
AAS IN EARLY CHILDHOOD EDUC	A	Associates
AAS IN EARLY CHILDHOOD EDUCATION	A	Associates
AAS IN EDUC FOR PARAPROF	A	Associates
AAS IN ELECT DATA PROCESSING	A	Associates
AAS IN ELECT/TECH MICRO OPT	A	Associates
AAS IN ELECTR CONSTRUCT TECH	A	Associates
AAS IN ELECTRICAL-ELECTRONIC ENGINEERING TECH	A	Associates
AAS IN ELECTRICAL/MECHANICAL SYSTEMS & MAINTENANCE	A	Associates
AAS IN ELECTROMECHANICAL TECH	A	Associates
AAS IN ELECTRON/ELECTR TECH	A	Associates
AAS IN ELECTRONIC ENGINEERING	A	Associates
AAS IN ELECTRONIC TECHNOLOGY	A	Associates
AAS IN ELECTRONICS COMPUTER TECHNOLOGY	A	Associates
AAS IN ELECTRONICS ENGR TECH	A	Associates
AAS IN ELECTRONICS TECH	A	Associates
AAS IN ELECTRONICS TECHNOLOGY	A	Associates
AAS IN ENGINEER DESIGN TECH	A	Associates
AAS IN ENGINEER TECHNOLOGY	A	Associates
AAS IN ENGINEERING TECH W/HNRS	A	Associates
AAS IN ENGINEERING TECHNOLOGY	A	Associates
"AAS IN ENVIRONMENTAL, SAFETY & SECURITY TECHNOLOGIES"	A	Associates
AAS IN EXEC SEC W/HIGHEST HON	A	Associates
AAS IN EXECUTIVE SECRETARY	A	Associates
AAS IN FASHION MERCHANDISING	A	Associates
AAS IN FIRE MANAGEMENT	A	Associates
AAS IN FIRE SCIENCE	A	Associates
AAS IN FIRE SCIENCE TECH	A	Associates
AAS IN FIRE SCIENCE TECHNICIAN	A	Associates
AAS IN FIRE SCIENCE TECHNOLOGY	A	Associates
AAS IN FIRE SERVICE ADMIN.	A	Associates
AAS IN FITNESS MGT TECH	A	Associates
AAS IN FLIGHT TECH:AIRPLANE	A	Associates
AAS IN FOOD SCIENCE TECH	A	Associates
AAS IN FORENSIC SPECIALIST	A	Associates
AAS IN GENERAL BUSINESS	A	Associates
AAS IN GENERAL BUSINESS MGT	A	Associates
AAS IN GRAPHIC DESIGN TECH	A	Associates
AAS IN GRAPHIC DESIGN W/HNRS	A	Associates
AAS IN HEALTH	A	Associates
AAS IN HEALTH CO-OP	A	Associates
AAS IN HEALTH SCIENCE	A	Associates
AAS IN HISTOLOGIC TECHNOLOGY	A	Associates
AAS IN HORTICULT/FLORICULTURE	A	Associates
AAS IN HORTICULTURE/LAND MGT	A	Associates
AAS IN HUMAN SERV W/HIGH HON	A	Associates
AAS IN HUMAN SERVICES	A	Associates
AAS IN HUMAN SERVICES W/HONORS	A	Associates
AAS IN INDUSTRIAL GRAPHICS	A	Associates
AAS IN INDUSTRIAL TECHNOLOGY	A	Associates
AAS IN INFANT & CHLD DVLPMNT	A	Associates
AAS IN INFORMATION TECHNOLOGY	A	Associates
AAS IN INNOVATION	A	Associates
AAS IN INNOVATION W/HGH HONORS	A	Associates
AAS IN INNOVATION W/HON0RS	A	Associates
AAS IN INNOVATION WITH HONORS	A	Associates
AAS IN INSTRUMENTATION TECH	A	Associates
AAS IN INTERIOR DESIGN	A	Associates
AAS IN INTERPRETER TRAINING	A	Associates
AAS IN LAW ENFORCEMENT	A	Associates
AAS IN LEGAL SECRETARIAL	A	Associates
AAS IN LIBRARY & INFO SCI TECH	A	Associates
AAS IN LIBRARY TECHNICAL ASST	A	Associates
AAS IN LIBRARY TECHNOLOGY	A	Associates
AAS IN MANAGEMENT	A	Associates
AAS IN MANAGEMENT/MARKETING	A	Associates
AAS IN MANUFACTURING TECH	A	Associates
AAS IN MARKETING	A	Associates
AAS IN MARKETING & MANAGEMENT	A	Associates
AAS IN MARKETING & MECHANDISE	A	Associates
AAS IN MECH TECH/PRODUCTION	A	Associates
AAS IN MECH TECH/ROBOTIC APPL	A	Associates
AAS IN MECHANICAL DRAFTING	A	Associates
AAS IN MECHANICAL ENGINEERING	A	Associates
AAS IN MECHANICAL ENGR TECH	A	Associates
AAS IN MECHANICAL TECH DESIGN	A	Associates
AAS IN MECHANICS AND MAINTENANCE	A	Associates
AAS IN MED ASSIST W/HIGH HON	A	Associates
AAS IN MEDICAL ASSIST W/HONORS	A	Associates
AAS IN MEDICAL ASSISTANT	A	Associates
AAS IN MEDICAL LAB TECHNOLOGY	A	Associates
AAS IN MEDICAL LABORATORY TECH	A	Associates
AAS IN MEDICAL OFFICE ADMIN	A	Associates
AAS IN MEDICAL SECRETARIAL	A	Associates
AAS IN MEDICAL SECRETARY	A	Associates
AAS IN MICROCOMP & OFFC TECH	A	Associates
AAS IN MICROCOMPUTER TECHNOLOGY	A	Associates
AAS IN MID MANAGEMENT	A	Associates
AAS IN MID-MANAGEMENT	A	Associates
AAS IN MID-MANAGEMENT/RETAIL	A	Associates
AAS IN MILITARY TECHNOLOGY LEADERSHIP	A	Associates
AAS IN MMGT & SUPERVISION DEV	A	Associates
AAS IN MTFC	A	Associates
AAS IN MULTIDISCIPLINARY TECHNOLOGY	A	Associates
AAS IN MULTIMEDIA	A	Associates
AAS IN MUSIC	A	Associates
AAS IN NT TECH-INSTR & CONTR W/H	A	Associates
AAS IN NUCLEAR TECHNOLOGY	A	Associates
AAS IN NURSING	A	Associates
AAS IN NURSING IN 1989 AND ASSOCIATE IN ARTS ON 5/17/1985	A	Associates
AAS IN NURSING(ADN)	A	Associates
AAS IN OCCUPATION THERAPY ASSISTANT	A	Associates
AAS IN OCCUPATIONAL EDUCATION	A	Associates
AAS IN OCCUPATIONAL STUDIES	A	Associates
AAS IN OFF. ADMIN. & INFO.	A	Associates
AAS IN OFFICE ADMINISTRATION	A	Associates
AAS IN OFFICE TECHNOLOGY	A	Associates
AAS IN PARALEGAL STUDIES	A	Associates
AAS IN PARAMEDIC	A	Associates
AAS IN PARAMEDIC TECH	A	Associates
AAS IN PARAMEDIC WITH HONORS	A	Associates
AAS IN PARAMEDICINE	A	Associates
AAS IN PARAPROF HI EDUCATION	A	Associates
AAS IN PARAPROFESSIONAL EDUC	A	Associates
AAS IN PHYS THERAPY ASST	A	Associates
AAS IN POLYSOMNOGRAPHY	A	Associates
AAS IN PROCESS TECHNOLOGY	A	Associates
AAS IN PROCUREMENT MANAGEMENT	A	Associates
AAS IN PROJECT MANAGEMENT	A	Associates
AAS IN PROJECT MANAGEMENT W/H	A	Associates
AAS IN PSYCHIATRIC TECHNOLOGY	A	Associates
AAS IN PUBLIC ADMINISTRATION	A	Associates
AAS IN PUBLIC MANAGEMENT	A	Associates
AAS IN QA/QC	A	Associates
AAS IN QUALITY CONTROL	A	Associates
AAS IN QUALITY TECHNOLOGY	A	Associates
AAS IN RADIO/TV BROADCASTING	A	Associates
AAS IN RADIOLOGIC TECHNOLOGY	A	Associates
AAS IN RAILROAD OP TECH	A	Associates
AAS IN RECREATION	A	Associates
AAS IN RECREATION LEADERSHIP	A	Associates
AAS IN RECREATIONAL LEADERSHP	A	Associates
AAS IN RESPIRATORY CARE	A	Associates
AAS IN RESPIRATORY THERAPY	A	Associates
AAS IN RISPIRATORY CARE TECH	A	Associates
AAS IN SECRETARIAL SCIENCE	A	Associates
AAS IN SERVICE FIRE SCIENCE	A	Associates
AAS IN SERVICES	A	Associates
AAS IN SERVICES CO-OP	A	Associates
AAS IN SIGN LANGUAGE INTERPRET	A	Associates
AAS IN SKI INSTRUCTION	A	Associates
AAS IN SURVEYING TECHNOLOGY	A	Associates
AAS IN TECHNICAL ILLUSTRATION	A	Associates
AAS IN TECHNOLOGY	A	Associates
AAS IN TECHNOLOGY CO-OP	A	Associates
AAS IN TELE COMM ENGR TECH	A	Associates
AAS IN TELECOMMUNICATIONS	A	Associates
AAS IN TELECOMMUNICATIONS TECH	A	Associates
AAS IN TELEVISION PROD TECH	A	Associates
AAS IN THERAPEUTIC MASSAGE	A	Associates
AAS IN TREE FRUIT PRODUCTION	A	Associates
AAS IN VINEYARD TECHNOLOGY	A	Associates
AAS IN WELDING	A	Associates
AAS IN WELDING TECH	A	Associates
AAS IN WELDING TECH.	A	Associates
AAS IN WELDING TECHNOLOGY	A	Associates
AAS IN-SERV FIRE SCIENCE	A	Associates
AAS IN-SERVICE FIRE SCI	A	Associates
AAS IN-SERVICE FIRE SCIENCE	A	Associates
AAS IN-SERVICE LAW ENFORCE	A	Associates
AAS IN-SERVICE LAW ENFORCEMENT	A	Associates
AAS IND MECHANICS	A	Associates
AAS INDUDTRIAL ELECTRONICS TECHNOLOGY	A	Associates
AAS INDUS MAINT TECH	A	Associates
AAS INDUST ENGR TECH-PLASTICS ENGR	A	Associates
AAS INDUST ENGR TECH-QUALITY ENGR	A	Associates
AAS INDUST PLAS TECH W/HNRS	A	Associates
AAS INDUST PLASTICS TECH	A	Associates
AAS INDUST PLASTICS TECH W/HNR	A	Associates
AAS INDUSTRIAL DRAFT & DESIGN	A	Associates
AAS INDUSTRIAL DRAFTING	A	Associates
AAS INDUSTRIAL DRAFTINGDESIGN	A	Associates
AAS INDUSTRIAL ELECTRICITY	A	Associates
AAS INDUSTRIAL ELECTRONICS TECHNOLOGY	A	Associates
AAS INDUSTRIAL ENG TECH	A	Associates
AAS INDUSTRIAL GRAPHICS W/HONR	A	Associates
AAS INDUSTRIAL INSTRUMENTATION	A	Associates
AAS INDUSTRIAL MECHANICS	A	Associates
AAS INFO TECH - NETWRK INFRA SPC	A	Associates
AAS INFO TECH PROGRAMMING	A	Associates
AAS INFO TECH- NETWRK INFRA SPC	A	Associates
AAS INFO TECH-APPLICATIONS	A	Associates
AAS INFO TECH-NETWORK DESIGN	A	Associates
AAS INFO TECH-NETWRK INFRA SPC	A	Associates
AAS INFO TECH-PROGRAMMING	A	Associates
AAS INFO TECH-WEB DESIGN	A	Associates
AAS INFO TECH-WEB DEVELOP	A	Associates
AAS INFO TECH-WEB DEVELOPMENT	A	Associates
AAS INFOR TECH SUPPORT SPEC	A	Associates
AAS INFORM TECH/PROGRAMMING	A	Associates
AAS INFORMATION SERVICES TECH	A	Associates
AAS INFORMATION SPEC W/HNRS	A	Associates
AAS INFORMATION SPECIALIST	A	Associates
AAS INFORMATION TECH-NET ENGR	A	Associates
AAS INFORMATION TECH-NETWORK	A	Associates
AAS INFORMATION TECHNOLOGY	A	Associates
AAS INFORMATION TECHNOLOGY / NETWORK ADMINISTRATION	A	Associates
AAS INFOTECH-MICROSOFT USER SP	A	Associates
AAS INHALATION THERAPY	A	Associates
AAS INHALATION THERAPY TECH	A	Associates
AAS INSTR/INDUST ELECTRON	A	Associates
AAS INSTRUM & CONTROLLS W/HON	A	Associates
AAS INSTRUM & CONTROLS	A	Associates
AAS INSTRUM & CONTROLS W/HONOR	A	Associates
AAS INSTRUM. & CONTROLS	A	Associates
AAS INSURANCE	A	Associates
AAS INT DESIGN & MERCH	A	Associates
AAS INT DESIGN & MERCH W/HON	A	Associates
AAS INTERACTIVE MEDIA	A	Associates
AAS INTERIOR DECOR & MERCHANDI	A	Associates
AAS INTERIOR DESIGN	A	Associates
AAS INTERNATIONAL BUSINESS	A	Associates
AAS INTERNET SPECIALIST	A	Associates
AAS INTERPRETER TRAINING	A	Associates
AAS INTERPRETER TRAINING/SLT	A	Associates
AAS INTL BUSN & TRADE	A	Associates
AAS INTL BUSN - CARGO TRANS	A	Associates
AAS INVASIVE CARDIO TECHNICIAN	A	Associates
AAS INVASIVE CARDIO TECHNOLOGY	A	Associates
AAS IRRIGATION	A	Associates
AAS IT HARDWARE SUPP SPEC	A	Associates
AAS IT INFO TECH GENERAL	A	Associates
AAS IT NETWORK ADMIN	A	Associates
AAS JEWELRY/GOLDSMITHING TECH	A	Associates
AAS LAND SURVEY TECH W/HONORS	A	Associates
AAS LANDSCAPE MANAGEMENT	A	Associates
AAS LANDSCAPE TECH	A	Associates
AAS LANDSCAPE TECH W/HIGH HNRS	A	Associates
AAS LANDSCAPE TECH W/HNRS	A	Associates
AAS LANDSCAPE TECH W/HONORS	A	Associates
AAS LANDSCAPE TECH WITH HONORS	A	Associates
AAS LANDSCAPE TECHNOLOGY	A	Associates
AAS LANDSCAPE TECHNOLOGY HNR	A	Associates
AAS LANDSCAPE TECHNOLOGY W/HNR	A	Associates
AAS LANDSCAPE-TURF	A	Associates
AAS LAW ENF & CORR	A	Associates
AAS LAW ENFORCEMENT	A	Associates
AAS LAW ENFORCEMENT TECH	A	Associates
AAS LEGAL ADMIN ASSIST W/HNRS	A	Associates
AAS LEGAL ADMIN ASSIST W/HONOR	A	Associates
AAS LEGAL ADMIN ASSISTANT	A	Associates
AAS LEGAL ADMIN ASSISTNT W/HNR	A	Associates
AAS LEGAL ADMIN ASST W/HONORS	A	Associates
AAS LEGAL ADMINISTRATION	A	Associates
AAS LEGAL ADMINISTRATIVE ASST	A	Associates
AAS LEGAL ASSISTANT	A	Associates
AAS LEGAL OFFICE ASSISTANT	A	Associates
AAS LEGAL SECRETARY	A	Associates
AAS LEGAL SECRETARY W/HNRS	A	Associates
AAS LEGAL SECRETARY W/HONORS	A	Associates
AAS LEGAL SUPPORT PROFESSIONAL	A	Associates
AAS LIBRARY & INFO SERVICES	A	Associates
AAS LIBRARY TECHNICIAN	A	Associates
AAS LIBRARY/INS MED TECH	A	Associates
AAS LINUX NETWORKING ADMIN	A	Associates
AAS MACH SHOP TECH W/HNRS	A	Associates
AAS MACH SHOP TECH W/HONORS	A	Associates
AAS MACHINE SHOP	A	Associates
AAS MACHINE SHOP TECH	A	Associates
AAS MACHINE SHOP TECH W/HNRS	A	Associates
AAS MACHINE SHOP TECHNOLOGY	A	Associates
AAS MACHINE TECH W/HIGH HON	A	Associates
AAS MACHINE TECH W/HONORS	A	Associates
AAS MACHINE TECHNOLOGY	A	Associates
AAS MACHINING TECH	A	Associates
AAS MACHINING TECH W/HIGH HNRS	A	Associates
AAS MACHINING TECH W/HNRS	A	Associates
AAS MACHINING TECH W/HONORS	A	Associates
AAS MACHINING TECH WITH HONORS	A	Associates
AAS MACHINING TECHNOLOGY	A	Associates
AAS MACHINING TECHNOLOGY W/HNR	A	Associates
AAS MACHINIST	A	Associates
AAS MACHINIST/CNC TECHNOLOGY	A	Associates
AAS MAJOR: MICROCOMPUTER OPTION	A	Associates
AAS MANAGEMENT	A	Associates
AAS MANAGEMENT PROGRAMS	A	Associates
AAS MANF SYS MAINT TECH W/HNRS	A	Associates
AAS MANUF SYS MAINT TECH W/HNR	A	Associates
AAS MANUF SYSTEMS MAINT TECH	A	Associates
AAS MANUF SYSTEMS MAINT TECH WITH HIGHEST HONORS	A	Associates
AAS MANUF SYSTEMS MAINT TECH WITH HONORS	A	Associates
AAS MANUFACTURING ENGR TECH	A	Associates
AAS MANUFACTURING TECHNOLOGIES	A	Associates
AAS MANUFACTURING TECHNOLOGY	A	Associates
AAS MARINE CARPENTRY	A	Associates
AAS MARKETING	A	Associates
AAS MARKETING & SELLING	A	Associates
AAS MARKETING W/HIGHEST HONORS	A	Associates
AAS MARKETING WITH HONORS	A	Associates
AAS MASSAGE THERAPY	A	Associates
AAS MECH ENGINEERING TECH	A	Associates
AAS MECHANICAL ENG TECH	A	Associates
AAS MECHANICAL ENGINEERING	A	Associates
AAS MECHANICAL ENGINEERING TEC	A	Associates
AAS MECHANICAL ENGINEERING TECHNOLOGY	A	Associates
AAS MECHANICAL ENGR TECH	A	Associates
AAS MED ASSIST W/HIGHEST HONOR	A	Associates
AAS MED ASSISTANT W/HIGH HNR	A	Associates
AAS MED ASSISTANT W/HIGH HONOR	A	Associates
AAS MED ASSISTANT WITH HONORS	A	Associates
AAS MED OFFC SPECIALIST W/HNRS	A	Associates
AAS MED OFFICE ASSISTANT	A	Associates
AAS MED OFFICE ASSISTING	A	Associates
AAS MED OFFICE SPEC W/HIGH HNR	A	Associates
AAS MED OFFICE SPEC W/HIGHHNRS	A	Associates
AAS MED OFFICE SPEC W/HONORS	A	Associates
AAS MED OFFICE SPECIALST W/HNR	A	Associates
AAS MED OFFICE SPECLST W/HONOR	A	Associates
AAS MED RADIOGRAPHY W/HIGH HNR	A	Associates
AAS MED RADIOGRAPHY WITH HONOR	A	Associates
AAS MED REIMBURSEMENT/CODING	A	Associates
AAS MED-MANAGEMENT	A	Associates
AAS MEDICAL ASSISTANT	A	Associates
AAS MEDICAL ASSISTANT W/HNRS	A	Associates
AAS MEDICAL ASSISTANT W/HONORS	A	Associates
AAS MEDICAL ASSISTNT W/HONORS	A	Associates
AAS MEDICAL ASST TECH	A	Associates
AAS MEDICAL LAB TECHNOLOGY	A	Associates
AAS MEDICAL LAB TECHNOLOGY   6	A	Associates
AAS MEDICAL LABORATORY	A	Associates
AAS MEDICAL LABORATORY TECH	A	Associates
AAS MEDICAL LABORATORY TECHNOLOGY	A	Associates
AAS MEDICAL OFFICE ADM  W/HNRS	A	Associates
AAS MEDICAL OFFICE ADMIN	A	Associates
AAS MEDICAL OFFICE ADMINISTRAT	A	Associates
AAS MEDICAL OFFICE ASSISTING	A	Associates
AAS MEDICAL OFFICE SPEC W/HNRS	A	Associates
AAS MEDICAL OFFICE SPEC.W/HNRS	A	Associates
AAS MEDICAL OFFICE SPECIALIST	A	Associates
AAS MEDICAL OFFICE SPECIALIST WITH HIGHEST HONORS	A	Associates
AAS MEDICAL RADIOGRAPHY	A	Associates
AAS MEDICAL RADIOGRAPHY W/HNRS	A	Associates
AAS MEDICAL RADIOGRAPHY WITH HIGHEST HONORS	A	Associates
AAS MEDICAL RECORD TECH	A	Associates
AAS MEDICAL RECORD TECHNOLOGY	A	Associates
AAS MEDICAL RECORDS	A	Associates
AAS MEDICAL RECORDS TECH	A	Associates
AAS MEDICAL RECORDS TECHNOLOGY	A	Associates
AAS MEDICAL SECRETARY	A	Associates
AAS MEDICAL TRANSCRIPT W/HONOR	A	Associates
AAS MEDICAL TRANSCRIPTION	A	Associates
AAS MENTAL HEALTH TECH	A	Associates
AAS MENTAL HLTH TEC-SUBST ABUSE TRT	A	Associates
AAS MERCHANDISING MANAGEMENT	A	Associates
AAS MERCHANDISING MGMT W/HNRS	A	Associates
AAS MERCHANDISING MGMT W/HONOR	A	Associates
AAS MGMT/SUPERVISION SPEC	A	Associates
AAS MICROCOMP SUPP SPEC W/HNRS	A	Associates
AAS MICROCOMP SUPPORT SPECIAL	A	Associates
AAS MICROCOMP SUPPORT SPECIAL  WITH HIGHEST HONORS	A	Associates
AAS MICROCOMP SUPPORT SPECIAL  WITH HONORS	A	Associates
AAS MICROCOMP SUPPORT SPECIAL W/HNRS	A	Associates
AAS MICROCOMP SUPPORT SPECIAL W/HONORS	A	Associates
AAS MICROCOMP SUPPORT SPECIAL WITH HIGHEST HONORS	A	Associates
AAS MICROCOMP SUPPORT SPECIAL WITH HONORS	A	Associates
AAS MICROCOMP SUPPT SPEC W/HNR	A	Associates
AAS MICROCOMP SUPPT SPEC.W/HNR	A	Associates
AAS MICROCOMP SUPRT SPEC W/HNR	A	Associates
AAS MICROCOMPUTER APPL SPECIALIST	A	Associates
AAS MICROCOMPUTER SUPPORT SPEC	A	Associates
AAS MID MANAGEMENT	A	Associates
AAS MID-MANAGEMENT	A	Associates
AAS MID-MANAGEMENT W/HONORS	A	Associates
AAS MRCHNDSING-BUSINESS MNGMNT	A	Associates
AAS MRKT/MRCH/SALES SPEC	A	Associates
AAS MULTI-OC TRADE/ELEC(CONST)	A	Associates
AAS MULTI-OCC TRADE W/HIGH HON	A	Associates
AAS MULTI-OCC TRADE W/HONORS	A	Associates
AAS MULTI-OCC TRADES/CARPENTER	A	Associates
AAS MULTI-OCC TRADES/RES CARP	A	Associates
AAS MULTI-OCC TRADES/SHT MTL	A	Associates
AAS MULTI-OCCUPATIONAL TRADE	A	Associates
AAS MULTI-OCCUPATIONAL TRADES	A	Associates
AAS MULTIMEDIA	A	Associates
AAS MULTIMEDIA W/HIGHEST HONRS	A	Associates
AAS MULTIMEDIA W/HNRS	A	Associates
AAS MULTIMEDIA WITH HONORS	A	Associates
AAS NAT RES MGMTWILDLIFE	A	Associates
AAS NAT RES MGT/PARKS & REC	A	Associates
AAS NAT RES MGT/SOILS	A	Associates
AAS NAT RES MGT/WILDLIFE/FISH	A	Associates
AAS NAT RES/FORESTRY	A	Associates
AAS NAT RES/PARKS & REC	A	Associates
AAS NAT RES/SOILS	A	Associates
AAS NAT RES/WILDLIFE	A	Associates
AAS NAT RES/WILDLIFE/FISHERIES	A	Associates
AAS NAT RESFORESTRY	A	Associates
AAS NAT RESOURCES	A	Associates
AAS NAT RESPARK & REC	A	Associates
AAS NAT RESPARKS & REC	A	Associates
AAS NAT RESPARKS & RECREATION	A	Associates
AAS NAT RESSOILS	A	Associates
AAS NAT RESWATER RESOURCES	A	Associates
AAS NAT RESWILDLIFE	A	Associates
AAS NATR RESOURCES/FOREST	A	Associates
AAS NATR RESOURCESFOREST	A	Associates
AAS NATRURAL RESFORESTRY	A	Associates
AAS NATURAL RESOURCE MANAGEMNT	A	Associates
AAS NATURAL RESOURCES	A	Associates
AAS NATURAL RESOURCES MGMT	A	Associates
AAS NATURAL RESOURCES MMGT	A	Associates
AAS NATURAL RESOURCES/PARKS AND RECREATION	A	Associates
AAS NATURAL RESOURCES/WILDLIFE	A	Associates
AAS NATURAL RESOURCESFOR	A	Associates
AAS NATURAL RESOURCESFORE	A	Associates
AAS NATURAL RESOURCESFORES	A	Associates
AAS NATURAL RESOURCESFORESTRY	A	Associates
AAS NATURAL RESOURCESPARKS	A	Associates
AAS NATURAL RESOURCESSOILS	A	Associates
AAS NATURAL RESOURCESWATER	A	Associates
AAS NATURAL RESOURCESWILDL	A	Associates
AAS NATURAL RESOURCESWILDLIFE	A	Associates
AAS NATURAL RESOURCS/FORESTRY	A	Associates
AAS NATURAL RESSOIL	A	Associates
AAS NCT/ECHOCARDIOGRAPHY	A	Associates
AAS NETWORK ADMIN W/HIGH HONRS	A	Associates
AAS NETWORK ADMIN W/HONORS	A	Associates
AAS NETWORK ADMINISTRATOR	A	Associates
AAS NETWORK DESIGN & ADMINSTRN	A	Associates
AAS NETWORK ENGINEER	A	Associates
AAS NETWORK SPECIALIST	A	Associates
AAS NETWORK TECHNOLOGY	A	Associates
AAS NON DEST EVAL & TEST	A	Associates
AAS NONINVASIVE CARDIO TECH	A	Associates
AAS NONINVASIVE CARDIOVASCULAR TECHNOLOGY	A	Associates
AAS NT NON-LIC OPERATOR W/H/HN	A	Associates
AAS NT NON-LIC OPERATOR W/HONS	A	Associates
AAS NT NON-LICENSED OPERATOR	A	Associates
AAS NT RAD PROTECT TECH W/HONS	A	Associates
AAS NT RADIATION PROTECT TECH	A	Associates
AAS NT-INSTRU&CONTROL W/HONORS	A	Associates
AAS NT-RAD PROTECTION TECH	A	Associates
AAS NUCLEAR TECH WITH HONORS	A	Associates
AAS NUCLEAR TECH-INSTR & CONTR	A	Associates
AAS NUCLEAR TECHNOLOGY	A	Associates
AAS NUCLEAR TECHNOLOGY W/HONOR	A	Associates
AAS NURSING	A	Associates
AAS NURSING (ADN)	A	Associates
AAS NURSING (ADN) W/HNRS	A	Associates
AAS NURSING (RN)	A	Associates
AAS NURSING AD	A	Associates
AAS NURSING ADN	A	Associates
AAS NURSING ADN             12	A	Associates
AAS NURSING ADN  W/HNRS	A	Associates
AAS NURSING ADN W/HNRS	A	Associates
AAS NURSING ADN WITH HONORS	A	Associates
AAS NURSING ADN-WITH HONORS	A	Associates
AAS NURSING CBC/BBCC CO-0P	A	Associates
AAS NURSING CBC/BBCC CO-OP	A	Associates
AAS NURSING CBC/BBCC COOP W/HO	A	Associates
AAS NURSING RN	A	Associates
AAS NURSING W/HIGHEST HONORS	A	Associates
AAS NURSING W/HNRS	A	Associates
AAS NURSING W/HONORS	A	Associates
AAS NURSING WITH HIGH HONORS	A	Associates
AAS NURSING WITH HIGHEST HONOR	A	Associates
AAS NURSING WITH HONORS	A	Associates
AAS NURSING WITH NURSING	A	Associates
AAS NURSING WTIH HONORS	A	Associates
"AAS NURSING, AD"	A	Associates
AAS NUTRITION THERAPY	A	Associates
AAS OCCSP/ARCHTECTURAL ESTIMAT	A	Associates
AAS OCCSP/GUNSMITHING	A	Associates
AAS OCCSPCABLE INSTL & REP	A	Associates
AAS OCCSPCLB INSTL & REP	A	Associates
AAS OCCSPFAA ELECTRONICS	A	Associates
AAS OCCSPFIELD SERV TECH	A	Associates
AAS OCCSPLINE & CABLE TECH	A	Associates
AAS OCCSPLINE TECHNICIAN	A	Associates
AAS OCCSPPRODUCTION MGR	A	Associates
AAS OCCSPQLTY CONTRL TECH	A	Associates
AAS OCCSPQLTY CONTROL TECH	A	Associates
AAS OCCUP SPECCABLE INST	A	Associates
AAS OCCUP SPECCABLE INSTAL	A	Associates
AAS OCCUP SPECCABLE SPLIC	A	Associates
AAS OCCUP SPECQTY CONTROL	A	Associates
AAS OCCUP SPECQUAL COMT TEC	A	Associates
AAS OCCUP SPECQUAL CONT	A	Associates
AAS OCCUPATION THERAPY ASST	A	Associates
AAS OCCUPATIONAL EDUCATION	A	Associates
AAS OCCUPATIONAL SPEC	A	Associates
AAS OF APPLIED SCIENCE IN BUSINESS MANAGEMENT	A	Associates
AAS OFAD ADMINISTRATION HEALTH	A	Associates
AAS OFAD CLERICAL SPECIALIST	A	Associates
AAS OFAD HLTH INFO SPEC	A	Associates
AAS OFFICE ADMINISTRATION	A	Associates
AAS OFFICE ADMN/WRD PROCESSING	A	Associates
AAS OFFICE APPLICATIONS SPEC	A	Associates
AAS OFFICE INFORMATION SYSTEMS	A	Associates
AAS OFFICE MACHINE REPAIR	A	Associates
AAS OFFICE MACHINE TECH	A	Associates
AAS OFFICE MACHINE TECHNOLOGY	A	Associates
AAS OFFICE MACHINERY TECH	A	Associates
AAS OFFICE MANAGEMENT	A	Associates
AAS OFFICE MED SECRETARY W/HNR	A	Associates
AAS OFFICE OCCUPATIONS W/HNR	A	Associates
AAS OFFICE SPECIALIST W/HNRS	A	Associates
AAS OFFICE TECH - ACCTG OPTION	A	Associates
AAS OFFICE TECH - COMPUTER APP	A	Associates
AAS OFFICE TECH - MEDICAL OPT	A	Associates
AAS OFFICE TECH- ACCOUNTING	A	Associates
AAS OFFICE TECH-COMPUTER APP	A	Associates
AAS OFFICE TECHNOLOGY	A	Associates
AAS OFFICE TECHNOLOGY-MEDICAL	A	Associates
AAS OFFSET PRINTING	A	Associates
AAS OPERATING ROOM TECH	A	Associates
AAS OPT 1 NURSING	A	Associates
AAS OPTICIANRY	A	Associates
AAS OPTION A	A	Associates
AAS OPTION A GENERAL TRANSFER	A	Associates
AAS OPTION A TRANSFER DEGREE	A	Associates
AAS OPTION A#	A	Associates
AAS OPTION B	A	Associates
"AAS OPTION B, AAS OPTION A TRANSFER DEGREES"	A	Associates
AAS OPTOMETRIC TECH	A	Associates
